"input","generated_text","prediction_probability","input_token_count","generated_token_count"
"I was driving my 2001 Komatsu PC210LCi-10 down Michael Courts, Port Gabrielle when I was rammed by a maroon Komatsu D21P-8. The accident happened at approximately 12 PM.My 2001 Komatsu PC210LCi-10 was parked roadside at Michael Courts, Port Gabrielle when it was struck by a maroon Komatsu D21P-8. The accident occurred at around 12 PM. The impact caused damage to the side mirrors, suspension of my car. I am filing a claim with my insurance company to replace my car.","I was driving my 2001 Komatsu PC210LCi-10 down Michael Courts, Port Gabrielle when I was rammed by a maroon Komatsu D21P-8. The accident happened at approximately 12 PM.",-2.6038241,331,48
"On 30 July, 2023 at 07 PM, my vehicle, a 2010 Wil-Rich 16 XL2 53, was involved in an accident in Fitzgerald Harbor, Anaside. The other car was a navy Caterpillar 336F L. The impact caused damage to the axles of my car. My driver suffered severe injuries and is receiving ongoing medical treatment.","My vehicle was involved in an accident in Fitzgerald Harbor, Anaside.",-4.556649,285,15
"On 14 February, 2023 at 05 AM, my vehicle, a 2005 Kioti DK45SE HST, was involved in an accident in Taylor Passage, West Bradleyville. The other car was a white Hitachi ZX130-6. My vehicle sustained damage to the front bumper. ","On 14 February, 2023 at 05 AM, my vehicle, a 2005 Kioti DK45SE HST, was involved in an accident in Taylor Passage, West Bradleyville. The other car was a white Hitachi ZX130-6. My vehicle sustained damage to the front bumper.",-3.076713,272,66
"On 11 July, 2023 at 10 AM, my vehicle, a 2009 Krause 5821WR, was involved in an accident in Garcia Hollow, Lake Samuelmouth. The other car was a purple Liebherr R317. My vehicle sustained damage to the frame/chassis. ","On 11 July, 2023 at 10 AM, my vehicle, a 2009 Krause 5821WR, was involved in an accident in Garcia Hollow, Lake Samuelmouth. The other car was a purple Liebherr R317. My vehicle sustained damage to the frame/chassis.",-3.5071394,269,63
"I was driving my 2014 Terex 1804LC down Cantrell Course, North Thomasburgh when I was rammed by a blue Case 440 Series III. The accident happened at approximately 02 AM.My 2014 Terex 1804LC was parked roadside at Cantrell Course, North Thomasburgh when it was struck by a blue Case 440 Series III. The accident occurred at around 02 AM. The impact caused damage to the fenders, axles of my car. My driver suffered severe injuries and is receiving ongoing medical treatment.. I immediately called your agent and submitted the claim form providing the accident details, police report, and medical documentation.","I was driving my 2014 Terex 1804LC down Cantrell Course, North Thomasburgh when I was rammed by a blue Case 440 Series III. The accident happened at approximately 02 AM.",-2.563377,345,45
"On 23 January, 2023 at 06 PM, my vehicle, a 2013 John Deere 7130 OOS Tractor, was involved in an accident in Ethan Forest, Larsonshire. The other car was a yellow AGCO GT75A. My vehicle sustained damage to the front grille, wheels and tires. I immediately called your agent and submitted the claim form providing the accident details, police report, and medical documentation.","On 23 January, 2023 at 06 PM, my vehicle, a 2013 John Deere 7130 OOS Tractor, was involved in an accident in Ethan Forest, Larsonshire. The other car was a yellow AGCO GT75A. My vehicle sustained damage to the front grille, wheels and tires. I immediately called your agent and submitted the claim form providing the accident details, police report, and medical documentation.",-3.5382845,297,91
"I was driving my 2000 John Deere 320 down Griffin Field, Port Wayneville when I was rammed by a navy Samsung SL250-2. The accident happened at approximately 06 PM.My 2000 John Deere 320 was parked roadside at Griffin Field, Port Wayneville when it was struck by a navy Samsung SL250-2. The accident occurred at around 06 PM. This has caused extensive damage to engine. My driver suffered severe injuries and is receiving ongoing medical treatment.","I was driving my 2000 John Deere 320 down Griffin Field, Port Wayneville when I was rammed by a navy Samsung SL250-2. The accident happened at approximately 06 PM.",-2.6976135,311,43
"I was driving my 2011 Caterpillar 302.7D CR down Mccormick Neck, Johnsonfurt when I was rammed by a yellow Ranger F66G. The accident happened at approximately 05 AM.My 2011 Caterpillar 302.7D CR was parked roadside at Mccormick Neck, Johnsonfurt when it was struck by a yellow Ranger F66G. The accident occurred at around 05 AM. The impact caused damage to the fenders of my car. I am filing a claim with my insurance company to replace my car.. My driver immediately contacted emergency services and received medical attention at the scene.","I was driving my 2011 Caterpillar 302.7D CR down Mccormick Neck, Johnsonfurt when I was rammed by a yellow Ranger F66G. The accident happened at approximately 05 AM.",-2.444974,346,49
"On 03 November, 2023 at 12 AM, my vehicle, a 2018 New Holland T6070 Plus, was involved in an accident in Katherine Rue, Staceyland. The other car was a black Caterpillar D6T. This has caused extensive damage to hood and trunk. I immediately called your agent and submitted the claim form providing the accident details, police report, and medical documentation.. I am filing a claim with my insurance company to replace my car.",I am filing a claim with my insurance company to replace my car.,-2.1425238,307,16
"On 20 March, 2023 at 09 PM, my vehicle, a 2004 New Holland T9.505, was involved in an accident in Patterson Tunnel, West Devon. The other car was a green Kobelco SK135SRLC. My vehicle sustained damage to the front grille, frame/chassis. ","On 20 March, 2023 at 09 PM, my vehicle, a 2004 New Holland T9.505, was involved in an accident in Patterson Tunnel, West Devon. The other car was a green Kobelco SK135SRLC. My vehicle sustained damage to the front grille, frame/chassis.",-3.4959455,274,68
"On 20 January, 2023 at 08 PM, my vehicle, a 2013 Challenger MT945B, was involved in an accident in Coleman Way, Stewartfurt. The other car was a aqua Caterpillar 914M. My vehicle sustained damage to the side mirrors. My driver suffered severe injuries and is receiving ongoing medical treatment.. I am filing a claim with my insurance company to replace my car.","My vehicle was involved in an accident in Coleman Way, Stewartfurt.",-5.2498474,296,16
"I was driving my 2011 Hyundai HL770-9 down Kevin Union, Alanview when I was rammed by a green Volvo EC180BLC. The accident happened at approximately 03 PM.My 2011 Hyundai HL770-9 was parked roadside at Kevin Union, Alanview when it was struck by a green Volvo EC180BLC. The accident occurred at around 03 PM. The impact caused damage to the engine of my car. ","I was driving my 2011 Hyundai HL770-9 down Kevin Union, Alanview when I was rammed by a green Volvo EC180BLC. The accident happened at approximately 03 PM.",-2.7287812,300,42
"On 21 September, 2023 at 09 AM, my vehicle, a 2011 Hamm HD90, was involved in an accident in Sarah Cove, Port Jessicaton. The other car was a blue Case TR310. My vehicle sustained damage to the suspension, hood and trunk. ","On 21 September, 2023 at 09 AM, my vehicle, a 2011 Hamm HD90, was involved in an accident in Sarah Cove, Port Jessicaton. The other car was a blue Case TR310. My vehicle sustained damage to the suspension, hood and trunk.",-3.2114277,267,61
"On 12 July, 2023 at 10 PM, my vehicle, a 2014 Kubota L3430DT, was involved in an accident in Perkins Cove, Josephstad. The other car was a fuchsia Kubota R530C. The impact caused damage to the frame/chassis of my car. I am also providing witness statements and photographs of the damaged vehicle.","On 12 July, 2023 at 10 PM, my vehicle, a 2014 Kubota L3430DT, was involved in an accident in Perkins Cove, Josephstad. The other car was a fuchsia Kubota R530C. The impact caused damage to the frame/chassis of my car.",-3.3068993,293,74
"I was driving my 2000 Volvo EC300E down Anne Valleys, North Paul when I was rammed by a purple Landini Alpine 75 STD. The accident happened at approximately 02 AM.My 2000 Volvo EC300E was parked roadside at Anne Valleys, North Paul when it was struck by a purple Landini Alpine 75 STD. The accident occurred at around 02 AM. The impact caused damage to the wheels and tires, axles of my car. I am filing a claim with my insurance company to replace my car.. My driver suffered severe injuries and is receiving ongoing medical treatment.","I was driving my 2000 Volvo EC300E down Anne Valleys, North Paul when I was rammed by a purple Landini Alpine 75 STD. The accident happened at approximately 02 AM.",-2.548511,337,44
"On 07 February, 2023 at 01 PM, my vehicle, a 2019 Michigan L320 Long Boom, was involved in an accident in Andrew Grove, Lorifurt. The other car was a fuchsia Hardi Navigator 3000 PRO. I'm clueless when it comes to cars. Can this kind of damage to the doors, windshield and windows be reasonably fixed, or am I looking at the car being scrapped? My driver suffered severe injuries and is receiving ongoing medical treatment.","My vehicle was involved in an accident in Andrew Grove, Lorifurt.",-4.9750175,313,17
"On 28 March, 2023 at 08 PM, my vehicle, a 2004 Ezee-On 395, was involved in an accident in Mueller Road, North Kimberlyborough. The other car was a olive Vermeer Rebel 5500. The impact caused damage to the axles of my car. ","The other car hit my car in Mueller Road, North Kimberlyborough.",-9.413906,272,17
"On 03 November, 2023 at 09 AM, my vehicle, a 2007 Gehl 753Z, was involved in an accident in Amanda Shore, Jamesmouth. The other car was a lime Gehl AVANTAGE. The impact caused damage to the windshield and windows of my car. My driver immediately contacted emergency services and received medical attention at the scene.","My vehicle was involved in an accident in Amanda Shore, Jamesmouth.",-4.828237,283,15
"On 21 June, 2023 at 03 PM, my vehicle, a 2006 John Deere 6200, was involved in an accident in Landry Brook, Levyview. The other car was a gray Caterpillar 910K. The impact caused damage to the suspension, wheels and tires of my car. I am also providing witness statements and photographs of the damaged vehicle.. I am filing a claim with my insurance company to replace my car.","My car was involved in an accident on June 21, 2023.",-7.1766663,303,14
"On 30 October, 2023 at 09 AM, my vehicle, a 2007 JCB 3CX4SMT, was involved in an accident in Gonzalez Land, Brandonbury. The other car was a yellow Volvo L180H HIGH-LIFT. The impact caused damage to the headlights and taillights of my car. My driver suffered severe injuries and is receiving ongoing medical treatment.. My driver immediately contacted emergency services and received medical attention at the scene.","My vehicle was involved in an accident in Gonzalez Land, Brandonbury.",-4.38933,306,15
"I was driving my 2015 Massey Ferguson MF 3445 down Carla Passage, New Kim when I was rammed by a blue Caterpillar BG1000E. The accident happened at approximately 12 AM.My 2015 Massey Ferguson MF 3445 was parked roadside at Carla Passage, New Kim when it was struck by a blue Caterpillar BG1000E. The accident occurred at around 12 AM. The impact caused damage to the front bumper of my car. I am also providing witness statements and photographs of the damaged vehicle.","I was driving my 2015 Massey Ferguson MF 3445 down Carla Passage, New Kim when I was rammed by a blue Caterpillar BG1000E. The accident happened at approximately 12 AM.",-1.9604754,326,48
"On 03 August, 2023 at 03 AM, my vehicle, a 2005 RiteWay 7150, was involved in an accident in Gary Islands, Lake Eugenemouth. The other car was a fuchsia Ingersoll Rand SD70F. The impact caused damage to the headlights and taillights of my car. My driver suffered severe injuries and is receiving ongoing medical treatment.. I am also providing witness statements and photographs of the damaged vehicle.","My vehicle was involved in an accident in Gary Islands, Lake Eugenemouth.",-4.1115656,309,17
"On 08 November, 2023 at 12 PM, my vehicle, a 2000 Hitachi ZW220, was involved in an accident in Jones Port, Lake Michelleshire. The other car was a fuchsia Hyundai R35Z-9A. I'm clueless when it comes to cars. Can this kind of damage to the headlights and taillights be reasonably fixed, or am I looking at the car being scrapped? I am also providing witness statements and photographs of the damaged vehicle.","On 08 November, 2023 at 12 PM, my vehicle, a 2000 Hitachi ZW220, was involved in an accident in Jones Port, Lake Michelleshire. The other car was a fuchsia Hyundai R35Z-9A. I'm clueless when it comes to cars. Can this kind of damage to the headlights and taillights be reasonably fixed, or am I looking at the car being scrapped? I am also providing witness statements and photographs of the damaged vehicle.",-4.743637,315,109
"I was driving my 2013 Bobcat S185 down Davis Circle, East Thomas when I was rammed by a aqua Komatsu WA800-3. The accident happened at approximately 09 PM.My 2013 Bobcat S185 was parked roadside at Davis Circle, East Thomas when it was struck by a aqua Komatsu WA800-3. The accident occurred at around 09 PM. My vehicle sustained damage to the axles. I am also providing witness statements and photographs of the damaged vehicle.","I was driving my 2013 Bobcat S185 down Davis Circle, East Thomas when I was rammed by a aqua Komatsu WA800-3. The accident happened at approximately 09 PM.",-2.6018133,307,40
"I was driving my 2002 Case IH SDX30 down Ruth Plain, Powerston when I was rammed by a green Hesston 5456. The accident happened at approximately 06 PM.My 2002 Case IH SDX30 was parked roadside at Ruth Plain, Powerston when it was struck by a green Hesston 5456. The accident occurred at around 06 PM. This has caused extensive damage to windshield and windows, engine. I am also providing witness statements and photographs of the damaged vehicle.","I was driving my 2002 Case IH SDX30 down Ruth Plain, Powerston when I was rammed by a green Hesston 5456. The accident happened at approximately 06 PM.",-2.025926,314,42
"On 04 April, 2023 at 04 PM, my vehicle, a 2000 Caterpillar 589, was involved in an accident in Keith Forge, Moralesfort. The other car was a teal Komatsu PC7000-6. I'm clueless when it comes to cars. Can this kind of damage to the rear bumper, rear bumper be reasonably fixed, or am I looking at the car being scrapped? I immediately called your agent and submitted the claim form providing the accident details, police report, and medical documentation.","On 04 April, 2023 at 04 PM, my vehicle, a 2000 Caterpillar 589, was involved in an accident in Keith Forge, Moralesfort. The other car was a teal Komatsu PC7000-6. I'm clueless when it comes to cars. Can this kind of damage to the rear bumper, rear bumper be reasonably fixed, or am I looking at the car being scrapped? I immediately called your agent and submitted the claim form providing the accident details, police report, and medical documentation.",-4.2750206,319,113
"I was driving my 2011 Komatsu WB146PS-5 down Nelson Wall, East Angelashire when I was rammed by a aqua JCB 2CX Streetmaster. The accident happened at approximately 04 PM.My 2011 Komatsu WB146PS-5 was parked roadside at Nelson Wall, East Angelashire when it was struck by a aqua JCB 2CX Streetmaster. The accident occurred at around 04 PM. I'm clueless when it comes to cars. Can this kind of damage to the exhaust system, hood and trunk be reasonably fixed, or am I looking at the car being scrapped? I am also providing witness statements and photographs of the damaged vehicle.","I was driving my 2011 Komatsu WB146PS-5 down Nelson Wall, East Angelashire when I was rammed by a aqua JCB 2CX Streetmaster. The accident happened at approximately 04 PM.",-2.1642895,354,48
"On 29 April, 2023 at 03 PM, my vehicle, a 2000 Volvo ECR88, was involved in an accident in Mcdaniel Plains, Gonzaleshaven. The other car was a navy Eco Log 564B. This has caused extensive damage to axles, frame/chassis. I immediately called your agent and submitted the claim form providing the accident details, police report, and medical documentation.","My vehicle was involved in an accident in Mcdaniel Plains, Gonzaleshaven.",-5.083334,297,22
"I was driving my 2004 New Holland T5.115 Electro Command™ down Michael Harbor, New Amychester when I was rammed by a lime Buhler Versatile 435. The accident happened at approximately 05 PM.My 2004 New Holland T5.115 Electro Command™ was parked roadside at Michael Harbor, New Amychester when it was struck by a lime Buhler Versatile 435. The accident occurred at around 05 PM. My vehicle sustained damage to the suspension, rear bumper. I am filing a claim with my insurance company to replace my car.","I was driving my 2004 New Holland T5.115 Electro CommandTM down Michael Harbor, New Amychester when I was rammed by a lime Buhler Versatile 435. The accident happened at approximately 05 PM.",-2.6058915,329,49
"On 07 May, 2023 at 04 AM, my vehicle, a 2010 Hitachi EH 5000 AC - 2, was involved in an accident in Sanchez Ridge, East Janice. The other car was a fuchsia Burch 350-2150. The impact caused damage to the side mirrors of my car. ","On 07 May, 2023 at 04 AM, my vehicle, a 2010 Hitachi EH 5000 AC - 2, was involved in an accident in Sanchez Ridge, East Janice. The other car was a fuchsia Burch 350-2150. The impact caused damage to the side mirrors of my car.",-3.4394827,277,71
"On 02 March, 2023 at 12 PM, my vehicle, a 2007 Case IH RMX340 24ft, was involved in an accident in Tina Centers, Brewermouth. The other car was a blue Vermeer 505M Classic. My vehicle sustained damage to the hood and trunk. ","My vehicle was involved in an accident in Tina Centers, Brewermouth.",-4.478939,275,18
"I was driving my 2009 Kuhn HRB 152 down Jackson Lake, Wendymouth when I was rammed by a gray JCB 426ZX. The accident happened at approximately 05 PM.My 2009 Kuhn HRB 152 was parked roadside at Jackson Lake, Wendymouth when it was struck by a gray JCB 426ZX. The accident occurred at around 05 PM. The impact caused damage to the front grille of my car. I am also providing witness statements and photographs of the damaged vehicle.. I am also providing witness statements and photographs of the damaged vehicle.","I was driving my 2009 Kuhn HRB 152 down Jackson Lake, Wendymouth when I was rammed by a gray JCB 426ZX. The accident happened at approximately 05 PM.",-2.1557522,337,46
"I was driving my 2004 AMCO F-42 2224 down Joseph Plaza, Brittanyton when I was rammed by a olive Wacker Neuson ST45. The accident happened at approximately 10 PM.My 2004 AMCO F-42 2224 was parked roadside at Joseph Plaza, Brittanyton when it was struck by a olive Wacker Neuson ST45. The accident occurred at around 10 PM. My vehicle sustained damage to the wheels and tires, exhaust system. I am filing a claim with my insurance company to replace my car.. I am also providing witness statements and photographs of the damaged vehicle.","I was driving my 2004 AMCO F-42 2224 down Joseph Plaza, Brittanyton when I was rammed by a olive Wacker Neuson ST45. The accident happened at approximately 10 PM.",-2.4850512,339,46
"On 01 January, 2023 at 10 PM, my vehicle, a 2017 Caterpillar 910K, was involved in an accident in Dominguez Shoals, Mossland. The other car was a gray Zoomlion PY190B. This has caused extensive damage to wheels and tires. ","On 01 January, 2023 at 10 PM, my vehicle, a 2017 Caterpillar 910K, was involved in an accident in Dominguez Shoals, Mossland. The other car was a gray Zoomlion PY190B. This has caused extensive damage to wheels and tires.",-3.2989483,272,66
"I was driving my 2012 Hitachi ZX370 down Sanchez Locks, East Courtney when I was rammed by a lime Case IH MXM130. The accident happened at approximately 11 PM.My 2012 Hitachi ZX370 was parked roadside at Sanchez Locks, East Courtney when it was struck by a lime Case IH MXM130. The accident occurred at around 11 PM. I'm clueless when it comes to cars. Can this kind of damage to the side mirrors be reasonably fixed, or am I looking at the car being scrapped? My driver suffered severe injuries and is receiving ongoing medical treatment.. I immediately called your agent and submitted the claim form providing the accident details, police report, and medical documentation.","I was driving my 2012 Hitachi ZX370 down Sanchez Locks, East Courtney when I was rammed by a lime Case IH MXM130. The accident happened at approximately 11 PM.",-2.0050695,366,45
"I was driving my 2014 John Deere 762B down Brown Circle, Port Thomasside when I was rammed by a lime Terex HR14. The accident happened at approximately 02 PM.My 2014 John Deere 762B was parked roadside at Brown Circle, Port Thomasside when it was struck by a lime Terex HR14. The accident occurred at around 02 PM. I'm clueless when it comes to cars. Can this kind of damage to the front bumper be reasonably fixed, or am I looking at the car being scrapped? My driver immediately contacted emergency services and received medical attention at the scene.","I was driving my 2014 John Deere 762B down Brown Circle, Port Thomasside when I was rammed by a lime Terex HR14. The accident happened at approximately 02 PM.",-2.3374805,341,43
"On 09 August, 2023 at 02 AM, my vehicle, a 2006 Samsung SE280LC-2, was involved in an accident in Park Springs, Port Erikaport. The other car was a gray Case IH MXM130. My vehicle sustained damage to the frame/chassis. ","On 09 August, 2023 at 02 AM, my vehicle, a 2006 Samsung SE280LC-2, was involved in an accident in Park Springs, Port Erikaport. The other car was a gray Case IH MXM130. My vehicle sustained damage to the frame/chassis.",-2.9269805,270,64
"On 21 May, 2023 at 05 PM, my vehicle, a 2001 Tong Yang Moolsan T603 CAB, was involved in an accident in Andrea Bypass, Pattonstad. The other car was a lime Caterpillar M313D. I'm clueless when it comes to cars. Can this kind of damage to the side mirrors be reasonably fixed, or am I looking at the car being scrapped? My driver immediately contacted emergency services and received medical attention at the scene.","On 21 May, 2023 at 05 PM, my vehicle, a 2001 Tong Yang Moolsan T603 CAB, was involved in an accident in Andrea Bypass, Pattonstad. The other car was a lime Caterpillar M313D. I'm clueless when it comes to cars. Can this kind of damage to the side mirrors be reasonably fixed, or am I looking at the car being scrapped? My driver immediately contacted emergency services and received medical attention at the scene.",-4.8838825,320,114
"I was driving my 2001 Case IH Crumbler 45ft down David Mission, Lauriemouth when I was rammed by a white Link-Belt 4300 Quantum. The accident happened at approximately 12 AM.My 2001 Case IH Crumbler 45ft was parked roadside at David Mission, Lauriemouth when it was struck by a white Link-Belt 4300 Quantum. The accident occurred at around 12 AM. I'm clueless when it comes to cars. Can this kind of damage to the front bumper, front bumper be reasonably fixed, or am I looking at the car being scrapped? ","I was driving my 2001 Case IH Crumbler 45ft down David Mission, Lauriemouth when I was rammed by a white Link-Belt 4300 Quantum. The accident happened at approximately 12 AM.",-2.4164078,341,49
"I was driving my 2013 John Deere 6430 Cab Tractor down Hamilton Hill, East Carolineport when I was rammed by a white Hardi Navigator 3000 PRO. The accident happened at approximately 04 AM.My 2013 John Deere 6430 Cab Tractor was parked roadside at Hamilton Hill, East Carolineport when it was struck by a white Hardi Navigator 3000 PRO. The accident occurred at around 04 AM. My vehicle sustained damage to the doors, axles. My driver immediately contacted emergency services and received medical attention at the scene.","I was driving my 2013 John Deere 6430 Cab Tractor down Hamilton Hill, East Carolineport when I was rammed by a white Hardi Navigator 3000 PRO. The accident happened at approximately 04 AM.",-2.8210788,327,48
"On 21 October, 2023 at 06 PM, my vehicle, a 2019 Mecalac AX 1000, was involved in an accident in Gray Loop, Beckerhaven. The other car was a olive Case 40XT. The impact caused damage to the windshield and windows of my car. ",The windshield and windows of my car were damaged in an accident.,-5.9501038,269,14
"I was driving my 2012 Volvo MCT125D down Duke Meadow, Hugheston when I was rammed by a blue Ponsse BuffaloKing. The accident happened at approximately 01 PM.My 2012 Volvo MCT125D was parked roadside at Duke Meadow, Hugheston when it was struck by a blue Ponsse BuffaloKing. The accident occurred at around 01 PM. The impact caused damage to the rear bumper of my car. I am filing a claim with my insurance company to replace my car.. I am also providing witness statements and photographs of the damaged vehicle.","I was driving my 2012 Volvo MCT125D down Duke Meadow, Hugheston when I was rammed by a blue Ponsse BuffaloKing. The accident happened at approximately 01 PM.",-2.3759017,334,44
"On 08 May, 2023 at 06 AM, my vehicle, a 2015 Ponsse Buffalo, was involved in an accident in Munoz Estate, Alexamouth. The other car was a blue Case 921FXR. The impact caused damage to the front bumper of my car. My driver immediately contacted emergency services and received medical attention at the scene.","My vehicle was involved in an accident in Munoz Estate, Alexamouth.",-5.2423687,285,18
